zone_id,name,coordinates,country,risk_level,description,base_name,active
MIL-000,Zone militaire 1 - Port de Singapour,"1.3,103.8",Singapore,Critical,Zone militaire stratégique près de Port de Singapour.,Base Sous-marine 1,False
MIL-001,Zone militaire 2 - Port de Shanghai,"31.2,121.5",China,Critical,Zone militaire stratégique près de Port de Shanghai.,Base Navale 2,True
MIL-002,Zone militaire 3 - Port de Shanghai,"31.2,121.5",China,Critical,Zone militaire stratégique près de Port de Shanghai.,Base Navale 3,True
MIL-003,Zone militaire 4 - Port militaire de Toulon,"43.12,5.9",France,Critical,Zone militaire stratégique près de Port militaire de Toulon.,Base Navale 4,False
MIL-004,Zone militaire 5 - Base navale de Pearl Harbor,"21.4,-157.9",USA,Critical,Zone militaire stratégique près de Base navale de Pearl Harbor.,Base Aérienne 5,True
MIL-005,Zone militaire 6 - Base navale de Pearl Harbor,"21.4,-157.9",USA,High,Zone militaire stratégique près de Base navale de Pearl Harbor.,Base Navale 6,False
MIL-006,Zone militaire 7 - Port de Busan,"35.1,129.0",South Korea,High,Zone militaire stratégique près de Port de Busan.,Base Sous-marine 7,False
MIL-007,Zone militaire 8 - Port militaire de Toulon,"43.12,5.9",France,Critical,Zone militaire stratégique près de Port militaire de Toulon.,Base Aérienne 8,False
MIL-008,Zone militaire 9 - Port de Shanghai,"31.2,121.5",China,Critical,Zone militaire stratégique près de Port de Shanghai.,Base Aérienne 9,True
MIL-009,Zone militaire 10 - Golfe Persique,"26.0,55.0",International,High,Zone militaire stratégique près de Golfe Persique.,Base Sous-marine 10,False
MIL-010,Zone militaire 11 - Port militaire de Toulon,"43.12,5.9",France,High,Zone militaire stratégique près de Port militaire de Toulon.,Base Aérienne 11,True
MIL-011,Zone militaire 12 - Détroit d'Ormuz,"25.0,56.0",International,High,Zone militaire stratégique près de Détroit d'Ormuz.,Base Sous-marine 12,True
MIL-012,Zone militaire 13 - Canal de Suez,"30.0,32.5",Egypt,High,Zone militaire stratégique près de Canal de Suez.,Base Aérienne 13,False
MIL-013,Zone militaire 14 - Détroit d'Ormuz,"25.0,56.0",International,Critical,Zone militaire stratégique près de Détroit d'Ormuz.,Base Sous-marine 14,True
MIL-014,Zone militaire 15 - Base navale de Rota,"36.6,-6.4",Spain,High,Zone militaire stratégique près de Base navale de Rota.,Base Sous-marine 15,False
MIL-015,Zone militaire 16 - Détroit de Malacca,"3.0,101.0",International,High,Zone militaire stratégique près de Détroit de Malacca.,Base Sous-marine 16,False
MIL-016,Zone militaire 17 - Port de Shanghai,"31.2,121.5",China,High,Zone militaire stratégique près de Port de Shanghai.,Base Sous-marine 17,True
MIL-017,Zone militaire 18 - Base navale de Pearl Harbor,"21.4,-157.9",USA,Critical,Zone militaire stratégique près de Base navale de Pearl Harbor.,Base Sous-marine 18,True
MIL-018,Zone militaire 19 - Port de Shanghai,"31.2,121.5",China,High,Zone militaire stratégique près de Port de Shanghai.,Base Sous-marine 19,True
MIL-019,Zone militaire 20 - Base navale de Pearl Harbor,"21.4,-157.9",USA,High,Zone militaire stratégique près de Base navale de Pearl Harbor.,Base Navale 20,True
