image_id,file_name,date,time,zone_id,zone_name,coordinates,country,resolution,source,num_ships,ship_types,cloud_cover,url
IMG-000,satellite_000.jpg,2026-05-01,16:58:29,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,1m,Sentinel-2,3,"Chalutier, Navire de guerre, Destroyer",24.2,https://example.com/satellite_images/satellite_000.jpg
IMG-001,satellite_001.jpg,2026-05-02,10:32:33,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,1m,Maxar,1,Chalutier,3.6,https://example.com/satellite_images/satellite_001.jpg
IMG-002,satellite_002.jpg,2026-05-03,10:06:54,ZONE-001,Port militaire de Toulon,"43.12,5.9",France,10m,Landsat-8,3,"Porte-avions, Chalutier, Pétrolier",9.7,https://example.com/satellite_images/satellite_002.jpg
IMG-003,satellite_003.jpg,2026-05-04,19:05:21,ZONE-004,Détroit de Malacca,"3.0,101.0",International,1m,PlanetScope,1,Pétrolier,4.6,https://example.com/satellite_images/satellite_003.jpg
IMG-004,satellite_004.jpg,2026-05-05,11:56:44,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,10m,Sentinel-2,2,"Frégate, Cargo",20.9,https://example.com/satellite_images/satellite_004.jpg
IMG-005,satellite_005.jpg,2026-05-06,18:49:24,ZONE-010,Canal de Suez,"30.0,32.5",Egypt,5m,Landsat-8,2,"Chalutier, Cargo",16.5,https://example.com/satellite_images/satellite_005.jpg
IMG-006,satellite_006.jpg,2026-05-07,10:14:23,ZONE-010,Canal de Suez,"30.0,32.5",Egypt,10m,Landsat-8,2,"Destroyer, Pétrolier",4.0,https://example.com/satellite_images/satellite_006.jpg
IMG-007,satellite_007.jpg,2026-05-08,04:49:16,ZONE-005,Base navale de Rota,"36.6,-6.4",Spain,10m,Landsat-8,1,Chalutier,7.0,https://example.com/satellite_images/satellite_007.jpg
IMG-008,satellite_008.jpg,2026-05-09,16:48:50,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,1m,Sentinel-2,3,"Porte-avions, Frégate, Pétrolier",6.1,https://example.com/satellite_images/satellite_008.jpg
IMG-009,satellite_009.jpg,2026-05-10,22:34:17,ZONE-004,Détroit de Malacca,"3.0,101.0",International,10m,Maxar,3,"Frégate, Porte-avions, Destroyer",22.2,https://example.com/satellite_images/satellite_009.jpg
IMG-010,satellite_010.jpg,2026-05-11,20:52:44,ZONE-002,Base navale de Norfolk,"36.9,-76.3",USA,10m,Landsat-8,2,"Pétrolier, Frégate",26.1,https://example.com/satellite_images/satellite_010.jpg
IMG-011,satellite_011.jpg,2026-05-12,19:03:25,ZONE-009,Base navale de Yokosuka,"35.4,139.7",Japan,5m,Sentinel-2,2,"Destroyer, Navire civil",0.1,https://example.com/satellite_images/satellite_011.jpg
IMG-012,satellite_012.jpg,2026-05-13,10:49:42,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,5m,Landsat-8,3,"Navire de guerre, Destroyer, Cargo",17.5,https://example.com/satellite_images/satellite_012.jpg
IMG-013,satellite_013.jpg,2026-05-14,18:08:47,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,10m,Landsat-8,3,"Destroyer, Frégate, Navire civil",5.6,https://example.com/satellite_images/satellite_013.jpg
IMG-014,satellite_014.jpg,2026-05-15,13:47:30,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,1m,PlanetScope,2,"Chalutier, Frégate",14.2,https://example.com/satellite_images/satellite_014.jpg
IMG-015,satellite_015.jpg,2026-05-16,13:35:29,ZONE-006,Port de Rotterdam,"51.9,4.5",Netherlands,10m,Landsat-8,1,Chalutier,25.2,https://example.com/satellite_images/satellite_015.jpg
IMG-016,satellite_016.jpg,2026-05-17,21:06:23,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,10m,PlanetScope,2,"Chalutier, Pétrolier",1.1,https://example.com/satellite_images/satellite_016.jpg
IMG-017,satellite_017.jpg,2026-05-18,06:33:28,ZONE-010,Canal de Suez,"30.0,32.5",Egypt,5m,PlanetScope,2,"Navire civil, Porte-avions",6.0,https://example.com/satellite_images/satellite_017.jpg
IMG-018,satellite_018.jpg,2026-05-19,20:30:24,ZONE-001,Port militaire de Toulon,"43.12,5.9",France,5m,Maxar,2,"Chalutier, Frégate",21.3,https://example.com/satellite_images/satellite_018.jpg
IMG-019,satellite_019.jpg,2026-05-20,04:42:56,ZONE-007,Mer de Chine Méridionale,"15.0,110.0",International,10m,PlanetScope,3,"Navire de guerre, Frégate, Destroyer",13.2,https://example.com/satellite_images/satellite_019.jpg
